dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
ACL-TP-03/2022,PT123959196,Limousine,male,14.0,,123.0,,48.0,196.0,594.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT823282267,Limousine,male,16.0,,133.0,,51.0,204.0,774.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT223282265,Limousine,male,16.0,,136.0,,52.5,204.0,760.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT724515596,Limousine,male,14.0,,128.0,,52.0,203.0,632.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT924515694,Limousine,male,15.0,,132.0,,49.0,193.0,680.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT024403078,Limousine,male,15.0,,137.0,,46.5,193.0,690.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT524244553,Limousine,male,14.0,,132.0,,48.0,196.0,644.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT324980902,Limousine,male,16.0,,126.0,,48.0,190.0,636.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT524980901,Limousine,male,16.0,,127.0,,49.0,189.0,672.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT824514034,Limousine,male,16.0,,110.0,,47.0,183.0,628.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT924361210,Limousine,male,14.0,,134.0,,48.0,195.0,628.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT524515658,Limousine,male,16.0,,132.0,,51.0,194.0,754.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT624971642,Limousine,male,16.0,,130.0,,43.0,187.0,634.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT133112956,Limousine,male,15.0,,136.0,,45.0,194.0,632.0,station performance test; measured at exit (confirmed with ACL)
ACL-TP-03/2022,PT224517540,Limousine,male,16.0,,113.0,,47.0,190.0,704.0,station performance test; measured at exit (confirmed with ACL)
