dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
CowDatabase2,1,Aberdeen Angus,female,,,123.0,,,214.0,633.0,Voronezh cohort; 4 measurements only
CowDatabase2,2,Aberdeen Angus,female,,,119.0,,,224.0,632.0,Voronezh cohort; 4 measurements only
CowDatabase2,3,Aberdeen Angus,female,,,120.0,,,217.0,604.0,Voronezh cohort; 4 measurements only
CowDatabase2,4,Aberdeen Angus,female,,,145.0,,,216.0,617.0,Voronezh cohort; 4 measurements only
CowDatabase2,5,Aberdeen Angus,female,,,143.0,,,215.0,619.0,Voronezh cohort; 4 measurements only
CowDatabase2,6,Aberdeen Angus,female,,,137.0,,,219.0,592.0,Voronezh cohort; 4 measurements only
CowDatabase2,7,Aberdeen Angus,female,,,146.0,,,229.0,746.0,Voronezh cohort; 4 measurements only
CowDatabase2,8,Aberdeen Angus,female,,,146.0,,,218.0,612.0,Voronezh cohort; 4 measurements only
CowDatabase2,9,Aberdeen Angus,female,,,147.0,,,208.0,590.0,Voronezh cohort; 4 measurements only
CowDatabase2,10,Aberdeen Angus,female,,,143.0,,,229.0,676.0,Voronezh cohort; 4 measurements only
CowDatabase2,11,Aberdeen Angus,female,,,133.0,,,216.0,610.0,Voronezh cohort; 4 measurements only
CowDatabase2,12,Aberdeen Angus,female,,,144.0,,,217.0,626.0,Voronezh cohort; 4 measurements only
CowDatabase2,13,Aberdeen Angus,female,,,146.0,,,224.0,625.0,Voronezh cohort; 4 measurements only
CowDatabase2,14,Aberdeen Angus,female,,,143.0,,,206.0,600.0,Voronezh cohort; 4 measurements only
CowDatabase2,15,Aberdeen Angus,female,,,145.0,,,210.0,619.0,Voronezh cohort; 4 measurements only
CowDatabase2,16,Aberdeen Angus,female,,,146.0,,,220.0,606.0,Voronezh cohort; 4 measurements only
CowDatabase2,17,Aberdeen Angus,female,,,141.0,,,211.0,612.0,Voronezh cohort; 4 measurements only
