dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
CowDatabase3,1,Aberdeen Angus,female,,,125.0,,,223.0,619.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,2,Aberdeen Angus,female,,,120.0,,,224.0,615.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,3,Aberdeen Angus,female,,,126.0,,,215.0,609.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,4,Aberdeen Angus,female,,,123.0,,,216.0,617.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,5,Aberdeen Angus,female,,,131.0,,,226.0,639.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,6,Aberdeen Angus,female,,,129.0,,,229.0,609.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,7,Aberdeen Angus,female,,,127.0,,,227.0,591.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,8,Aberdeen Angus,female,,,124.0,,,226.0,604.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,9,Aberdeen Angus,female,,,127.0,,,226.0,595.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,10,Aberdeen Angus,female,,,128.0,,,226.0,603.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,11,Aberdeen Angus,female,,,128.0,,,225.0,634.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,12,Aberdeen Angus,female,,,126.0,,,224.0,590.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,13,Aberdeen Angus,female,,,130.0,,,216.0,601.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,14,Aberdeen Angus,female,,,125.0,,,222.0,606.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,15,Aberdeen Angus,female,,,129.0,,,230.0,611.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,16,Aberdeen Angus,female,,,128.0,,,231.0,610.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,17,Aberdeen Angus,female,,,125.0,,,216.0,586.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,18,Aberdeen Angus,female,,,125.0,,,220.0,569.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,19,Aberdeen Angus,female,,,125.0,,,219.0,599.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,20,Aberdeen Angus,female,,,125.0,,,222.0,602.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,21,Aberdeen Angus,female,,,124.0,,,223.0,599.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,22,Aberdeen Angus,female,,,128.0,,,236.0,604.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,23,Aberdeen Angus,female,,,132.0,,,230.0,603.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,24,Aberdeen Angus,female,,,130.0,,,219.0,651.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,25,Aberdeen Angus,female,,,125.0,,,215.0,625.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,26,Aberdeen Angus,female,,,134.0,,,217.0,644.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,27,Aberdeen Angus,female,,,134.0,,,224.0,632.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,28,Aberdeen Angus,female,,,125.0,,,214.0,657.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,29,Aberdeen Angus,female,,,129.0,,,225.0,631.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,30,Aberdeen Angus,female,,,124.0,,,216.0,630.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,31,Aberdeen Angus,female,,,124.0,,,220.0,629.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,32,Aberdeen Angus,female,,,132.0,,,224.0,630.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,33,Aberdeen Angus,female,,,124.0,,,229.0,624.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,34,Aberdeen Angus,female,,,123.0,,,220.0,592.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,35,Aberdeen Angus,female,,,126.0,,,217.0,645.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,36,Aberdeen Angus,female,,,125.0,,,219.0,626.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,37,Aberdeen Angus,female,,,132.0,,,220.0,637.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,38,Aberdeen Angus,female,,,128.0,,,226.0,626.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,39,Aberdeen Angus,female,,,124.0,,,223.0,634.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,40,Aberdeen Angus,female,,,131.0,,,220.0,620.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,41,Aberdeen Angus,female,,,129.0,,,222.0,627.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,42,Aberdeen Angus,female,,,125.0,,,225.0,655.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,43,Aberdeen Angus,female,,,126.0,,,227.0,623.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,44,Aberdeen Angus,female,,,129.0,,,227.0,639.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,45,Aberdeen Angus,female,,,134.0,,,226.0,644.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,46,Aberdeen Angus,female,,,128.0,,,226.0,640.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,47,Aberdeen Angus,female,,,125.0,,,219.0,648.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,48,Aberdeen Angus,female,,,135.0,,,232.0,680.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,49,Aberdeen Angus,female,,,134.0,,,227.0,670.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,50,Aberdeen Angus,female,,,125.0,,,222.0,634.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,51,Aberdeen Angus,female,,,125.0,,,225.0,639.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,52,Aberdeen Angus,female,,,124.0,,,217.0,644.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
