dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
CowDatabase,1,Hereford,female,,145.0,117.0,62.0,43.0,172.0,415.0,tape morphometrics; rump_width = ilium width
CowDatabase,2,Hereford,female,,127.0,116.0,60.0,42.0,171.0,407.0,tape morphometrics; rump_width = ilium width
CowDatabase,3,Hereford,female,,128.0,114.0,60.0,41.0,176.0,448.0,tape morphometrics; rump_width = ilium width
CowDatabase,4,Hereford,female,,150.0,118.0,63.0,44.0,176.0,443.0,tape morphometrics; rump_width = ilium width
CowDatabase,5,Hereford,female,,140.0,124.0,66.0,42.0,178.0,410.0,tape morphometrics; rump_width = ilium width
CowDatabase,6,Hereford,female,,138.0,120.0,60.0,43.0,178.0,441.0,tape morphometrics; rump_width = ilium width
CowDatabase,7,Hereford,female,,149.0,117.0,62.0,43.0,172.0,427.0,tape morphometrics; rump_width = ilium width
CowDatabase,8,Hereford,female,,137.0,115.0,60.0,41.0,172.0,380.0,tape morphometrics; rump_width = ilium width
CowDatabase,9,Hereford,female,,140.0,118.0,62.0,42.0,175.0,416.0,tape morphometrics; rump_width = ilium width
CowDatabase,10,Hereford,female,,151.0,119.0,65.0,44.0,182.0,424.0,tape morphometrics; rump_width = ilium width
CowDatabase,11,Hereford,female,,138.0,120.0,64.0,43.0,180.0,450.0,tape morphometrics; rump_width = ilium width
CowDatabase,12,Hereford,female,,140.0,118.0,60.0,40.0,178.0,429.0,tape morphometrics; rump_width = ilium width
CowDatabase,13,Hereford,female,,143.0,117.0,61.0,41.0,179.0,410.0,tape morphometrics; rump_width = ilium width
CowDatabase,14,Hereford,female,,133.0,119.0,62.0,44.0,186.0,464.0,tape morphometrics; rump_width = ilium width
CowDatabase,15,Hereford,female,,139.0,116.0,64.0,39.0,175.0,407.0,tape morphometrics; rump_width = ilium width
CowDatabase,16,Hereford,female,,137.0,105.0,55.0,38.0,153.0,312.0,tape morphometrics; rump_width = ilium width
CowDatabase,17,Hereford,female,,143.0,118.0,61.0,43.0,183.0,412.0,tape morphometrics; rump_width = ilium width
CowDatabase,18,Hereford,female,,144.0,120.0,63.0,42.0,181.0,414.0,tape morphometrics; rump_width = ilium width
CowDatabase,19,Hereford,female,,143.0,118.0,60.0,43.0,170.0,378.0,tape morphometrics; rump_width = ilium width
CowDatabase,20,Hereford,female,,152.0,121.0,64.0,43.0,181.0,441.0,tape morphometrics; rump_width = ilium width
CowDatabase,21,Hereford,female,,138.0,117.0,58.0,36.0,168.0,373.0,tape morphometrics; rump_width = ilium width
CowDatabase,22,Hereford,female,,148.0,122.0,63.0,41.0,177.0,394.0,tape morphometrics; rump_width = ilium width
CowDatabase,23,Hereford,female,,148.0,122.0,63.0,41.0,177.0,439.0,tape morphometrics; rump_width = ilium width
CowDatabase,24,Hereford,female,,148.0,119.0,61.0,41.0,177.0,441.0,tape morphometrics; rump_width = ilium width
CowDatabase,25,Hereford,female,,154.0,119.0,58.0,44.0,174.0,434.0,tape morphometrics; rump_width = ilium width
CowDatabase,26,Hereford,female,,142.0,118.0,65.0,41.0,174.0,414.0,tape morphometrics; rump_width = ilium width
CowDatabase,27,Hereford,female,,142.0,118.0,62.0,42.0,174.0,400.0,tape morphometrics; rump_width = ilium width
CowDatabase,28,Hereford,female,,159.0,125.0,65.0,42.0,183.0,464.0,tape morphometrics; rump_width = ilium width
CowDatabase,29,Hereford,female,,144.0,120.0,61.0,44.0,174.0,442.0,tape morphometrics; rump_width = ilium width
CowDatabase,30,Hereford,female,,149.0,121.0,62.0,44.0,180.0,416.0,tape morphometrics; rump_width = ilium width
CowDatabase,31,Hereford,female,,452.0,122.0,66.0,44.0,184.0,444.0,tape morphometrics; rump_width = ilium width
CowDatabase,32,Hereford,female,,148.0,119.0,60.0,42.0,166.0,395.0,tape morphometrics; rump_width = ilium width
