dataset_source,external_animal_id,series,center,breed,sex,age_days,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,chest_width_cm,real_weight_kg,qc_flag,validated_subset,notes
FECL/LIMUSINEX-ES,ES011009628233,44,Badajoz,Limousine,male,,201.0,,,67.0,212.0,67.0,742.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES021009332495,44,Badajoz,Limousine,male,,176.0,,,61.0,198.0,58.0,568.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES041009671860,44,Badajoz,Limousine,male,,193.0,,,64.0,215.0,66.0,692.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES061008557474,44,Badajoz,Limousine,male,,196.0,,,60.0,206.0,58.0,666.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES021009628234,44,Badajoz,Limousine,male,,196.0,,,65.0,208.0,62.0,702.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES071009689383,44,Badajoz,Limousine,male,,190.0,,,61.0,208.0,63.0,652.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES061008557485,44,Badajoz,Limousine,male,,185.0,,,63.0,206.0,62.0,646.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES031009736921,44,Badajoz,Limousine,male,,187.0,,,64.0,207.0,62.0,658.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES041009736922,44,Badajoz,Limousine,male,,190.0,,,65.0,209.0,61.0,646.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES010107191492,44,Badajoz,Limousine,male,,182.0,,,62.0,211.0,64.0,670.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES001009715450,44,Badajoz,Limousine,male,,182.0,,,64.0,208.0,60.0,630.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES041009671871,44,Badajoz,Limousine,male,,190.0,,,63.0,206.0,58.0,640.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES091009715459,44,Badajoz,Limousine,male,,178.0,,,59.0,198.0,57.0,610.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES071009242671,44,Badajoz,Limousine,male,,188.0,,,63.0,207.0,63.0,656.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES001009553927,44,Badajoz,Limousine,male,,187.0,,,60.0,202.0,58.0,598.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES021009703703,44,Badajoz,Limousine,male,,194.0,,,66.0,208.0,63.0,696.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES060107191384,44,Badajoz,Limousine,male,,186.0,,,58.0,209.0,58.0,610.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES021009536759,44,Badajoz,Limousine,male,,178.0,,,60.0,212.0,59.0,636.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES081009384419,44,Badajoz,Limousine,male,,197.0,,,60.0,207.0,60.0,680.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES051009059061,44,Badajoz,Limousine,male,,190.0,,,66.0,213.0,65.0,724.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES031009703704,44,Badajoz,Limousine,male,,200.0,,,67.0,207.0,63.0,668.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES051009118670,44,Badajoz,Limousine,male,,185.0,,,62.0,208.0,62.0,646.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES041009703705,44,Badajoz,Limousine,male,,196.0,,,65.0,210.0,65.0,666.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES031009684000,44,Badajoz,Limousine,male,,185.0,,,63.0,206.0,61.0,650.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES021009496112,44,Badajoz,Limousine,male,,185.0,,,61.0,205.0,58.0,614.0,ok,SI,"young bulls, station performance test; tape morphometry"
FECL/LIMUSINEX-ES,ES071009059063,44,Badajoz,Limousine,male,,182.0,,,62.0,204.0,61.0,640.0,ok,SI,"young bulls, station performance test; tape morphometry"
