dataset_source,external_animal_id,campaign,breed,sex,abdominal_width_cm,abdominal_width_2_cm,hip_height_cm,withers_height_cm,wih_cm,bh_cm,body_length_cm,chest_girth_cm,thoracic_depth_cm,real_weight_kg,notes
Wang2024/Zenodo-11277007,101,8-3,Simmental,male,52.42,64.39,116.10,121.58,111.33,110.78,90.07,,,270,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,101,8-2,Simmental,male,48.51,64.63,117.55,122.15,114.08,113.65,85.04,,,270,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,103,10-5,Simmental,male,55.88,55.88,115.39,119.03,109.79,108.30,95.87,,,256,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,103,10-2,Simmental,male,54.92,65.02,119.45,119.29,113.67,113.09,60.58,,,256,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,104,10-5,Simmental,male,60.68,66.51,116.17,122.73,110.50,110.12,86.68,,,252,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,112,8-1,Simmental,male,54.87,63.85,120.19,122.41,114.79,114.84,77.88,,,233,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,114,15-3,Simmental,male,60.89,73.36,110.70,115.53,107.63,107.19,86.85,,,224,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,114,15-5,Simmental,male,56.66,64.90,108.81,114.81,107.17,104.83,95.33,,,224,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,116,10-3,Simmental,male,56.55,67.58,115.51,115.65,109.08,109.40,60.74,,,228,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,117,8-1,Simmental,male,54.69,67.69,115.80,118.68,110.34,109.96,78.48,,,225,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,117,8-2,Simmental,male,55.07,59.90,115.75,118.16,119.57,110.37,107.19,,,225,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,119,15-5,Simmental,male,51.60,59.59,111.90,115.22,111.86,103.48,95.75,,,217,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,119,15-1,Simmental,male,55.67,63.77,115.90,118.77,112.10,111.15,75.68,,,217,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,119,15-2,Simmental,male,52.38,61.34,111.76,115.60,111.98,108.10,92.54,,,217,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,122,10-5,Simmental,male,51.38,55.66,116.68,118.61,112.09,104.76,77.48,,,216,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,131,10-2,Simmental,male,63.64,69.28,115.31,122.97,114.34,112.47,85.38,,,266,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,131,10-5,Simmental,male,52.38,62.43,117.34,120.26,110.89,110.97,74.47,,,266,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,131,10-3,Simmental,male,65.48,74.44,116.53,117.91,110.59,110.67,67.32,,,266,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,132,15-3,Simmental,male,48.99,48.99,109.81,114.35,106.32,100.92,85.20,,,202,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,132,15-5,Simmental,male,51.79,51.79,113.45,115.10,106.57,98.40,73.03,,,202,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,133,8-3,Simmental,male,45.72,62.17,116.12,120.59,111.30,111.22,88.18,,,244,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,201,10-5,Simmental,male,57.12,64.16,112.90,116.53,111.12,109.37,99.24,,,237,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,201,8-1,Simmental,male,58.63,65.71,114.60,115.90,113.95,111.75,85.88,,,237,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,201,10-2,Simmental,male,58.60,71.90,113.29,116.06,109.88,107.35,99.07,,,237,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,201,10-3,Simmental,male,59.20,65.69,115.33,117.34,109.38,107.80,98.29,,,237,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,207,10-5,Simmental,male,56.38,60.44,110.03,114.44,108.76,104.04,87.02,,,240,"young bulls, UAV-LiDAR; no chest girth in this modality"
Wang2024/Zenodo-11277007,207,10-2,Simmental,male,59.65,69.16,113.70,118.80,107.58,106.69,99.68,,,240,"young bulls, UAV-LiDAR; no chest girth in this modality"
